is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,guest_group_type,guest_origin
1,96,2015,July,11,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
1,103,2015,July,18,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
1,110,2015,July,25,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,16,2015,July,25,2,1,2,0.0,0,HB,Groups,0,0,0,A,0,No Deposit,0,86.0,0,0,Couples,Foreign
0,110,2015,July,25,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
1,110,2015,July,25,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,110,2015,July,25,2,1,1,0.0,0,HB,Offline TA/TO,0,0,0,A,1,No Deposit,0,36.25,0,0,Solo,Foreign
0,110,2015,July,25,2,1,2,0.0,0,HB,Offline TA/TO,0,0,0,A,0,No Deposit,0,94.5,0,0,Couples,Foreign
0,19,2015,July,25,2,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,19,2015,July,25,2,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,19,2015,July,25,2,2,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,1,Couples,Foreign
0,25,2015,July,27,1,1,2,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,62.0,0,0,Couples,Foreign
0,25,2015,July,27,1,1,3,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,84.0,0,0,Family,Foreign
0,25,2015,July,27,1,1,1,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,60.0,0,0,Solo,Foreign
0,25,2015,July,27,1,1,1,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,0.0,0,0,Solo,Foreign
0,25,2015,July,27,1,1,1,0.0,0,BB,Groups,0,0,0,A,0,No Deposit,0,60.0,0,0,Solo,Foreign
0,25,2015,July,27,1,1,3,0.0,0,BB,Groups,0,0,0,A,1,No Deposit,0,84.0,0,0,Family,Foreign
0,0,2015,July,27,1,2,2,0.0,0,BB,Offline TA/TO,0,0,0,A,1,No Deposit,0,75.0,0,0,Couples,Foreign
0,126,2015,July,27,1,2,2,0.0,0,BB,Online TA,0,0,0,A,0,No Deposit,0,76.5,0,1,Couples,Foreign
0,114,2015,July,27,1,2,2,0.0,0,BB,Online TA,0,0,0,A,1,No Deposit,0,76.5,0,2,Couples,Foreign
